last_update;uuid;title;EPG genre;production year;providerId;providerId type;alternative titles
19/01/2021 13:39;49b6b549-77d4-4cae-92d1-ad295dd672e3;Group Chat with Young Dylan & That Girl Lay Lay;1;2020;datatv_se256938;datatv;[[ALT]]Group Chat with Young Dylan & That Girl Lay Lay[[ALT]]Group Chat with Young Dylan & That Girl Lay Lay[[ALT]]Group Chat with Young Dylan & That Girl Lay Lay
12/01/2021 09:53;0bb84279-4d14-413c-bbc3-5041ad0a8713;Accused;1;2015;datatv_se204769;datatv;[[ALT]]Accused[[ALT]]AccusÇ[[ALT]]Accused
13/01/2021 13:38;3bf41082-2f70-4adc-a526-cd1c926cdda7;Piccole donne;1;2017;datatv_se229279;datatv;[[ALT]]Piccole donne[[ALT]]Little Women[[ALT]]Piccole donne
12/01/2021 14:34;3bb1b7d5-e9e7-4dd0-9324-673df0542ea4;Gli speciali del Gambero Rosso;4;2012;datatv_se229756;datatv;[[ALT]]Gli speciali del Gambero Rosso[[ALT]]Gli speciali del Gambero Rosso[[ALT]]Gli speciali del Gambero Rosso
12/01/2021 10:49;a23c5f7d-77bf-4286-ac46-943e3c654d50;1994;1;2019;datatv_se243658;datatv;[[ALT]]1994[[ALT]]1994[[ALT]]1994
19/01/2021 00:58;512e6df5-1cc5-417c-8583-dcede56b9a98;NBA Special;2;2018;datatv_se250427;datatv;[[ALT]]NBA Special[[ALT]]NBA Special[[ALT]]NBA Special
13/01/2021 13:38;8d0a9d4f-5622-4bc5-a1c1-b5a1a7f4318a;RitoccÖti! Collection;4;2020;datatv_se252169;datatv;[[ALT]]RitoccÖti! Collection[[ALT]]RitoccÖti! Collection[[ALT]]RitoccÖti! Collection
18/01/2021 21:51;df9062f7-8004-438a-b11c-7e2d09c1429d;1-on-1 Caron Butler;2;2020;datatv_se253267;datatv;[[ALT]]1-on-1 Caron Butler[[ALT]]1-on-1 Caron Butler: Cloud & Abdur-Rahim[[ALT]]1-on-1 Caron Butler
12/01/2021 14:57;810425ca-3a76-463d-b49b-c3800bfa5b80;Geni del crimine;4;2020;datatv_se252944;datatv;[[ALT]]Geni del crimine[[ALT]]Murder Masterminds[[ALT]]Murder Masterminds - Geni del crimine
19/01/2021 00:53;07b55c33-2faf-4154-8693-9900940eb735;High Tops;2;2018;datatv_se253805;datatv;[[ALT]]High Tops[[ALT]]High Tops[[ALT]]High Tops
12/01/2021 15:02;c54ae83b-5b15-4d7e-82d0-d0efa50b6588;Australian Open;2;2020;datatv_se230595;datatv;[[ALT]]Australian Open[[ALT]]Australian Open[[ALT]]Australian Open
12/01/2021 16:52;0b550d81-20aa-431d-9372-7a9ed673dec1;I Signori della Serie A;2;2018;datatv_se250592;datatv;[[ALT]]I Signori della Serie A[[ALT]]I Signori della Serie A[[ALT]]I Signori della Serie A
19/01/2021 12:54;fba001ba-8181-4601-abc3-139a632f10a2;Approfondimento America's Cup;2;2020;datatv_se256576;datatv;[[ALT]]Approfondimento America?s Cup[[ALT]]Studio vela[[ALT]]Studio Vela
19/01/2021 14:07;b2016491-885b-4072-96bc-671eb98803d4;Group Chat with Jayden & Brent;1;2020;datatv_se256936;datatv;[[ALT]]Group Chat with Annie & Jayden[[ALT]]Group Chat with Jayden & Brent[[ALT]]Group Chat with Jayden & Brent
15/01/2021 15:47;4d80ab5d-6ce1-42d9-a45a-5f7ff17bc13c;Just Add Magic Mystery City;6;2020;datatv_se256895;datatv;[[ALT]]Just Add Magic Mystery City[[ALT]]Just Add Magic Mystery City[[ALT]]Just Add Magic Mystery City
12/01/2021 17:19;775137bf-73b7-4aad-b20f-2d50002d4cb8;Un pizzico di magia;6;2007;datatv_se236388;datatv;[[ALT]]Un pizzico di magia[[ALT]]A Kind of Magic[[ALT]]Un pizzico di magia
18/01/2021 10:35;5df2d684-9288-40bc-b5a4-92234a3f4651;Dama Passion;4;2020;datatv_se256690;datatv;[[ALT]]Dama Passion[[ALT]]Dama Passion[[ALT]]Dama Passion
07/01/2021 19:05;b3700201-4228-44c9-a835-d2f146928302;Matrimonio a prima vista Australia;1;2015;datatv_se216619;datatv;[[ALT]]Matrimonio a prima vista Australia[[ALT]]Married at first sight[[ALT]]Matrimonio a prima vista Australia
